关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
生日,birthDate,出生日期。,Date of birth.,Person,Date
出生地,birthPlace,该人出生的地方。,The place where the person was born.,Person,Place
比特率,bitrate,媒体对象的比特率。,The bitrate of the media object.,MediaObject,Text
博客文章,blogPost,此博客的一部分。,A posting that is part of this blog.,Blog,BlogPosting
博客文章,blogPosts,属于此博客的帖子。,The postings that are part of this blog.,Blog,BlogPosting
血液供应,bloodSupply,将血液从心脏输送到肌肉的血管。,The blood vessel that carries blood from the heart to the muscle.,Muscle,Vessel
登机组,boardingGroup,特定于航空公司的登机顺序/偏好指示器。,The airline-specific indicator of boarding order / preference.,FlightReservation,Text
登机政策,boardingPolicy,航空公司使用的登机政策类型（例如，基于区域或基于组的）。,The type of boarding policy used by the airline (e.g. zone-based or group-based).,"Airline, Flight",BoardingPolicyType
身体位置,bodyLocation,在人体解剖结构中的位置。,Location in the body of the anatomical structure.,"AnatomicalStructure, MedicalProcedure",Text
车型,bodyType,指示车辆的设计和车身样式（例如旅行车，掀背车等）。,"Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).",Vehicle,"QualitativeValue, Text, URL"
图书版,bookEdition,这本书的版本。,The edition of the book.,Book,Text
书籍格式,bookFormat,这本书的格式。,The format of the book.,Book,BookFormatType
预订代理,bookingAgent,“ bookingAgent”是一个过时的术语，表示充当预订代理的“经纪人”。,'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.,Reservation,"Organization, Person"
预约时间,bookingTime,预订的日期和时间。,The date and time the reservation was booked.,Reservation,DateTime
借物人,borrower,借物的人。,A sub property of participant. The person that borrows the object being lent.,LendAction,Person
框,box,方框是由两点组成的矩形所包围的区域。第一点是下角，第二点是上角。方框表示为两个点，中间用空格隔开。,"A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.",GeoShape,Text
分支,branch,从神经束中划出的分支。不要与branchOf混淆。,The branches that delineate from the nerve bundle. Not to be confused with branchOf.,Nerve,AnatomicalStructure
分行代码,branchCode,简短的文本代码（也称为“商店代码”），用于唯一标识营业地点。该代码通常由parentOrganization分配，并在结构化URL中使用。例如，在URL http://www.starbucks.co.uk/store-locator/etc/detail/3047中，代码“ 3047”是一个特定的分支。,"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch.",Place,Text
的分支,branchOf,该本地企业所属的较大组织（如果有）。不要与（解剖）分支混淆。,"The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical)branch.",LocalBusiness,Organization
品牌,brand,与产品或服务相关的品牌，或由组织或业务人员维护的品牌。,"The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.","Organization, Person, Product, Service","Brand, Organization"
面包屑,breadcrumb,一组链接，可以帮助用户理解和浏览网站层次结构。,A set of links that can help a user understand and navigate a website hierarchy.,WebPage,"BreadcrumbList, Text"
母乳喂养警告,breastfeedingWarning,与母乳喂养的母亲使用这种药物有关的任何预防措施，指南，禁忌症等。,"Any precaution, guidance, contraindication, etc. related to this drug's use by breastfeeding mothers.",Drug,Text
广播会员,broadcastAffiliateOf,在此站上广播其内容的媒体网络。,The media network(s) whose content is broadcast on this station.,BroadcastService,Organization
广播频道ID,broadcastChannelId,可以在提供商列表中标识BroadcastService的唯一地址。在美国，这通常是数字。,"The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.",BroadcastChannel,Text
广播显示名称,broadcastDisplayName,频道指南中显示的名称。对于许多美国分支机构，它是网络名称。,"The name displayed in the channel guide. For many US affiliates, it is the network name.",BroadcastService,Text
广播频率,broadcastFrequency,用于无线广播的频率。数值或简单范围，例如87-99。此外，AM和FM广播频道的频率也支持快捷方式。 “ 87 FM”。,"The frequency used for over-the-air broadcasts. Numeric values or simple ranges e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. ""87 FM"".","BroadcastChannel, BroadcastService","BroadcastFrequencySpecification, Text"
广播频率值,broadcastFrequencyValue,特定广播的频率（MHz）。,The frequency in MHz for a particular broadcast.,BroadcastFrequencySpecification,"Number, QuantitativeValue"
事件广播,broadcastOfEvent,正在广播的事件，例如体育赛事或颁奖典礼。,The event being broadcast such as a sporting event or awards ceremony.,BroadcastEvent,Event
广播服务层,broadcastServiceTier,可以访问频道的服务类型（例如标准或高级）。,The type of service required to have access to the channel (e.g. Standard or Premium).,BroadcastChannel,Text
广播信号调制,broadcastSignalModulation,特定广播服务使用的调制方式（例如FM，AM等）,"The modulation (e.g. FM, AM, etc) used by a particular broadcast service",BroadcastFrequencySpecification,"QualitativeValue, Text"
广播子频道,broadcastSubChannel,用于广播的子频道。,The subchannel used for the broadcast.,BroadcastFrequencySpecification,Text
广播时区,broadcastTimezone,服务基于其广播的ISO 8601格式的时区,The timezone in ISO 8601 format for which the service bases its broadcasts,BroadcastService,Text
广播公司,broadcaster,拥有或运营广播服务的组织。,The organization owning or operating the broadcast service.,BroadcastService,Organization
经纪人,broker,安排买方和卖方之间交换的实体。 在大多数情况下，经纪人从不获取或释放涉及交易所的产品或服务的所有权。 如果不清楚某个实体是经纪人，卖方还是买方，则首选后两个术语。,"An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.","Invoice, Order, Reservation, Service","Organization, Person"
浏览器要求,browserRequirements,用人类可读的文本指定浏览器要求。 例如，“需要HTML5支持”。,"Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.",WebApplication,Text
